fecha,Mod_comb,NDVI,sup_quemad,sup_arb,sup_pastiz,sup_matorr,w_arb,w_pastiz,w_matorr,rk_Cuenc_F,rk_hist_Cu,rk_hist_us,rk_orograf,rk_peligro,rk_pte,vuln_equip,vuln_forve,vuln_infra,vuln_max,vuln_pathi,LST,rk_combUSIF,rk_combCuencExtr,rk_combCuencSup,Velocidad_Viento,Dirección_Viento,Humedad_Relativa,Temperatura_Máxima,Temperatura_Media,ETo_acumulada,Precipitación_acumulada
04/08/2002,8,4134.13,74.6676025,,,,,,,5,5,2,2,1,1,1,4,2,4,1,37.87,4,4,3,30,45,67.6,29.2,22.2,977.01,542.4
19/08/2002,5,3443.7,53.3501015,,,,,,,4,5,5,2,4,4,1,4,5,5,1,0,4,5,5,28,45,51.4,32.2,24.2,1193.18,656.4
18/07/2003,5,4138.75,98.2479019,,,,,,,5,3,2,2,2,1,1,4,3,4,1,36.85,4,3,3,9,225,42,35,27,1131.06,649
21/07/2003,5,3531.66,428.299011,,,,,,,4,5,5,3,3,4,1,2,1,2,1,41.094,4,5,5,15,315,28,38,30,1005.9,746.4
01/08/2003,4,3910.76,132.067001,,,,,,,2,5,3,2,4,4,1,4,1,4,1,46.81,5,5,5,5,180,18.8,40,32,1195.8,753.6
01/08/2003,10,5592.26,2554.65991,,,,,,,1,5,5,2,4,4,1,2,1,2,1,42.2064286,4,5,5,17,113,27.9,40,33,1082.94,747.6
13/08/2003,5,3156.8,74.1689987,,,,,,,4,4,5,3,4,4,1,2,1,2,1,0,4,4,5,4,315,40,37,30,1158.96,751.2
12/08/2003,5,3196.97,998.232971,,,,,,,3,5,5,2,1,2,1,1,2,2,1,42.35,5,5,5,10,158,37,38,32,1279.96,753.6
16/06/2004,2,2786.5,53.9687996,,,,,,,1,2,5,2,1,1,1,3,1,3,1,44.23,5,4,5,37,315,41.2,32.1,24.3,910,659.6
02/07/2004,4,3058.11,50.3933983,,,,,,,4,3,5,2,5,4,1,3,3,3,1,0,5,5,5,18,225,35.9,36.4,25.9,1049.48,659.6
